id,parent_id,summarized,text,length
er95tck,c0xoaw,1,That’s actually really interesting!,6
edyksfn,afhc1m,1,That’s really interesting.,5
dezqhjs,5zk3aq,1,That's pretty interesting actually.,6
hit:2641_conv:5283_uttr:2,hit:2641_conv:5283_uttr:1,1,That is quite interesting.,5
dg5b2eu,64v86q,1,That's pretty interesting.,5
e3alvp2,9337ro,1,That's really interesting.,5
dec42bf,5wo69l,1,That's interesting.,4
fomth8a,g8d6q0,0,That's so interesting!,5
fow4u7i,g9wy24,1,That’s really interesting.,5
edu71p5,aez90g,1,That is really interesting.,5
hdxk2a6,pt93vf,1,Student loans.,3
hdx4sbt,pt93vf,0,My student loans,3
hdynifo,pt93vf,1,Student loan help.,4
hdxm06s,pt93vf,0,"Student loans, man.",5
f8g0knm,e0orqu,1,Student loans dude.,4
hdwziof,pt93vf,1,Lol student loans.,4
hdx3v2p,pt93vf,0,Student loan debt.,4
hdy27qr,pt93vf,1,Def just student loans.,5
hdw6ada,pt93vf,0,Student loans lmao,3
fs7tmrc,gsvq7q,0,Student loans,2
e7s6w42,9o6vmv,1,I love fall and spring.,6
evydom0,clw4nd,1,Spring is my favorite season,5
dc58hh4,5mosf7,1,My favourite season weather wise is probably autumn.,9
gvhdwhn,mw7x88,1,ive always loved spring.,6
e78z7s6,9lrwuk,1,"I like the transitional seasons, fall and spring.",10
dy5dedx,8fp10d,1,I love spring!,4
e5wy3h6,9fibah,1,I love fall!,4
egr2u0z,arztir,1,"I love spring, my all time favorite season for sure.",12
e2lcpe4,8zta52,0,"I love autumn, the colours, the climate, the months it takes place ; in my town it doesn't look like it's supposed to, but I still like it.",35
e2laymt,8zta52,1,Fall is my favorite!!,6
enjbjqk,boqezs,0,Sprouts are good too!,5
fdlv3l9,em25d0,0,Brussel sprouts,2
e7p32q6,9numzb,1,I love Brussels sprouts.,5
fgru1iu,f01tje,1,"I love some good broccoli, cauliflower, carrots, etc.",12
fdtteug,en315d,1,Brussel sprouts are super delicious.,6
fbz3wfw,ef93ix,1,I honestly can enjoy a Brussel sprout.,8
e1hyju1,8utffu,1,**Brussels sprouts.,5
fx4m0lm,hmdguk,1,Brussel sprouts are the shit,5
gtqt9ox,mmdpln,0,"I like kale, and Brussels sprouts.",8
faer6nt,e8uffo,0,Brussel sprouts are the bomb when done right.,9
h189pbh,nwbxdv,1,"Good luck, internet stranger!",6
hdx283t,pt93vf,1,Good luck stranger!,4
g6l59dm,izupzm,1,Good luck stranger!,4
g0kefhg,i4t0wf,1,Good luck stranger.,4
ercawmb,c1aocm,1,Good luck internet stranger!,5
egtt4ll,asegzv,0,Best of luck stranger!,5
hdw4ijo,pt93vf,1,good luck stranger!,4
gz2kfs6,nimmaf,1,Best luck stranger.,4
e82obx4,9plvsp,0,Best of luck stranger!,5
g0u0x02,i65fce,1,good luck stranger!,4
djrc57g,6l5w1i,1,Weird.,2
f9stt76,e6lm2j,1,Weird.,2
fcxxpku,ejibcr,0,Weird.,2
eb9tpgz,a3g96g,1,Weird.,2
erqr9ei,c3b8gj,1,Weird.,2
dwa86eq,86y8zm,1,Weird.,2
e41xp5a,96lpck,1,Bizarre.,2
g0qpalc,i5f8bq,1,Weird.,2
h8hv7zl,p20xvi,1,Weird.,2
fla8smi,fnm1vc,1,Weird.,2
dvj1fkk,83n0wg,1,Hey hey!,3
er8l1de,c0vhva,1,Hey hey hey!,4
e6ageny,9haixt,1,Hey hey!,3
duy9umt,80raq8,1,Hey hey!,3
du8gp4e,7wvs5a,1,Hey hey!,3
f8dhs84,e0e253,1,Hey hey!,3
e8ex5ld,9r87qz,1,Hey hey!,3
fs7p4ty,gsvq7q,0,hey hey,2
enztzgy,bpz7ec,1,Hey hey.,3
dibtc43,6eliqk,1,Hey Hey!,3
gbjl5vu,jq389d,1,Anybody else?,3
dgbmv94,65k5u8,1,Anyone else?,3
hiwr1yi,qkd67a,1,Anyone else?,3
dxzo44u,8exy06,1,Anyone else?,3
g2ixek3,ie8b9u,1,Anybody else?,3
dqpwzxc,7h8xix,1,Anyone else?,3
e2e0j05,8yuuv8,1,Anyone else?,3
eths7pw,cbk67p,1,Anyone else?,3
dsp32x4,7qeb07,1,Anyone else?,3
fovfhcd,g9ob8q,1,Anyone else?,3
fgfg9iz,ey7d62,1,Would love to see the art you've done!,10
ffqpol1,eupjuq,1,Would you mind sharing some of your art?,9
g389bvv,iil67q,0,Can i see your art?,6
de2r6qo,5vkf3c,0,Can we see some of your digital art?,9
dup98b5,7zn8oe,1,May I see some of your artwork?,8
g37lry7,iil67q,0,Can I see your art?,6
dm5eal7,6w3a3o,0,Can we see your art?,6
f6kfy4b,drqhm7,1,Share your art!,4
etl6akt,cc88of,0,Can you show us some of your art?,9
e329bnh,91vihw,0,I'd be interested in seeing some of your art!,11
ec5uty6,a7theo,1,Well shit.,3
g0186fa,i1zo97,1,Well shit.,3
dvkvwh9,83v3t1,1,"Well, shit.",4
frjgwxv,goqm7e,0,well shit,2
eu2ojr0,ceed2a,1,Well shit.,3
f4v8i50,dkg3l8,1,Well shit.,3
hiu65lr,qjxcuh,1,Well shit.,3
ex08kl9,cqwuvs,1,"Well, shit.",4
fkv31zp,fkkdz5,1,Well shit.,3
fil9kne,f8gzar,1,Well shit.,3
