id,parent_id,summarized,text,length
dme88qv,6x823f,0,It started fine and ended up being shitty.,9
g0ucb7s,i65fce,1,Your starting a good one,5
f8wm5dr,e2nvsc,1,"It started out ok, then went downhill very quickly.",11
fad46r6,e8lwee,1,Not a great start.,5
dbxbxci,5lnqg9,1,Hasn't been the best start to the new year.,11
h3g7u83,oa9n3k,1,It was going well too.,6
deb3hv9,5wl5do,1,It started off really well.,6
dcrl9s1,5pjexa,1,It wasn't great start into the day.,9
e5g40pj,9d8y3u,0,"Started good, then went awful and now it's at hopeful.",13
gtaqvwy,mjk6p7,1,It started good.,4
ea4hbqc,9yvbu8,1,I find it quite funny .,6
dqowm37,7h60os,1,I found it funny and endearing.,7
efl1ayd,amckoe,0,"I googled it, I found it slightly funny, though I get why others might find it a bit unsettling.",22
dqqtwah,7hfcjj,0,Personally I find it really cute,6
e7rrfgu,9o661x,1,"Well, I find it hilarious.",7
dsyyeri,7rq207,0,I think it's interesting.,6
dm3ix96,6vwi0s,0,"It's a little weird, but endearing with a good message",12
dlli9qd,6tanr5,0,I find it funny because the things they say are so ridiculous.,13
ed2knae,abs6n5,0,I find it pretty funny.,6
dtxfq2f,7w3iuo,0,I find it cringy to be completely honest.,9
e01kdsp,8o8dzi,0,"I don't have Twitter, can you explain about it?",12
gfs1ggz,kcpqrs,1,Tiktok and Twitter for example,5
djusnvo,6lm1ta,1,Screw Twitter.,3
dqg42cr,7g2lho,1,"For me, I prefer Twitter to FB.",9
e2tw7e7,90wh6w,0,"I don't use Twitter, but if I did and this happened to me, I wouldn't use it any more.",24
djutpga,6lm1ta,1,I barely use twitter.,5
dpway66,7da9bo,0,"I don't have a twitter, so that one's pretty easy.",14
dwxoxyu,8a9rxf,1,I never touched Twitter.,5
frpa1ov,gpwwyd,0,I don't know who or what to follow on twitter even though I want to use it.,19
has7gpf,pdnoae,0,Tweeting.,2
dqvvr8n,7hyra3,0,If you find something you love you will never work a day in your life.,16
e58ngwf,9c7mc1,1,A job is better than no job.,8
e9k4ged,9wf51d,1,"Either follow a path you dont like and make a good living , or follow your dreams and struggle to afford to live.",25
e83131t,9pnmke,1,A job is a job and you gotta pick what will pay the bills,15
dvl90j9,83xjgf,1,"Keep in mind a job is exactly that, a job and working somewhere is a choice.",18
dulai4d,7z42cx,1,Maybe seek out jobs where you want to live?,10
dm9tbzl,6woj0o,1,"Take the time to work, build savings, volunteer and job shadow until you find something that appeals to you.",22
e7d63su,9m8z8e,1,"Unfortunately, you need money to live, and a career in a well paying field is the best way to do that.",24
dv7o0h2,825y6r,1,And maybe also consider if working in an other country with better opportunities is a viable option for you.,20
dzchjnl,8l39uk,1,Getting a job is the best decision.,8
fgrf10v,f032zx,1,I'm just a curious person,6
dljjbgg,6tc891,1,Just curious.,3
fs125r1,grtcuq,1,I'm a curious person.,6
dkm9lde,6p3fd8,1,just curious,2
g19rq0t,i8bea3,1,Just casually curious.,4
dktkgq1,6pzfrk,0,I'm curious.,4
hit:489_conv:978_uttr:2,hit:489_conv:978_uttr:1,1,Im curious.,4
dko2pkx,6payhm,1,I wanna know!,4
flfqkzj,foi7ea,1,Just wondering.,3
dqcaxtd,7fjlhn,1,I'm really curious.,5
h4so0s9,ohvrh1,0,With my first pregnancy I had several ribs broken by my son from kicking.,15
h4tpo2o,ohvrh1,1,My daughter kicked my son when I was pregnant.,10
fpr0l31,gf1mpy,1,One time my brother accidentally kicked me in the face and broke my nose.,15
hl3va0x,qwdg6y,0,Once delivered an ex girlfriends baby.,7
di1pt07,6d9omn,0,One time my dad got kicked out of a daughter father softball game,13
h4svfu1,ohvrh1,0,I used to kick my dad all the time when my mom was pregnant with me.,17
h4sv5qp,ohvrh1,1,I have photographic evidence of my younger kid kicking me in the bladder during an ultrasound.,17
h4ui4en,ohvrh1,0,"One of my niblings kicked my sister so hard in her kidney, it dislodged a stone she didn't know was there.",24
h4t72yk,ohvrh1,1,My son spent a full month of the pregnancy punching my ribs.,13
dxak378,8bxg0u,1,My dad had a soccer tournament and the coach was my mom's uncle.,15
ez2yenm,czw7hn,1,My addiction was eye drops though.,7
gwhge0v,n23np8,1,Got so addicted I started neglecting work.,8
fj2nixg,fb4dvk,1,"Dude all addictions are pathetic, which addictions do you think are actually ""cool""?",17
fnpvxuk,g371iw,0,I'm curious what got you into doing drugs to begin with ?,13
fi9r9n8,f78mcs,0,"Games, audiobooks and sugar Addicted to all three.",10
fsq8nps,gvnnsr,1,"Like many here, I was addicted to social media.",11
eofx6ie,brr9nb,0,What did you used to do before you spent all day on the internet?,15
eo8pzts,bqy0mo,1,Easily the biggest thing I've done and the biggest obstacle I've overcome was addiction.,17
fgwxtvb,f0n7ev,0,What are you obsessed with?,6
el6yfiz,bemmbm,0,"One of my buddies always asks this on his podcast, What is the first thing you remember becoming obsessed with?",22
dix2383,6hbh7o,1,And most of us choose to live as if these things matter.,13
djmy4hu,6kla90,0,Everyone cares about themselves and not many people care about all others .,13
dfa36pt,60w51q,1,"but at the end of hte day, if you dont care about life that much, why should others?",22
di9733d,6eb79o,1,Why do you care that you don't care/that it's become just another day?,18
e9sied1,9xcv7z,1,"Because you are all humans just struggling in this life as well, day to day",16
donojk2,77ny4v,0,Because life sucks and then we die.,8
eepr9wz,ailm9s,1,Why the fuck does anyone care about other peoples lives?,11
dd83ysg,5rjcdq,1,"To be honest, it's much easier to accept that no one cares, and start doing things for your own enjoyment.",24
e6efmnb,9ht2mu,0,Because if we didn't care we would just let ourselves die or kill ourselves when something was hard or unpleasant,21
e6rhg0h,9jhhrf,0,Because we don't expect anyone else to hear or see the pain.,14
ehhhrfu,avt6r4,1,The dogs are just an extension of how our society now glorifies victimhood.,14
ei9gmkv,azq7r3,1,"If you try and train an aggressive dog out of their aggressive tendencies, have patience.",17
dt0zr0l,7rztsh,1,"Wtf, train your dogs better.",7
ecwph2g,ab19tu,0,Because aggressive dogs need to be socialized and there's no way to do that other than them being around other dogs.,23
dy8jnrk,8g3j2s,0,Not going to give you tips on how to bully a dog sorry.,14
fyvr30g,hvm11h,0,Some people use their dogs for dog fights,8
f7vwuqu,dxm87g,1,Even well trained dogs have issues.,7
g2wcjvl,igs7xm,1,Watch dog videos on the youtube.,7
dyqmq2z,8ibzfu,0,Do you realize that if your dog attacks a human you can be held legally and criminally responsible?,19
g0f4qm2,i3x53r,1,You've watched a lot of videos of improperly trained dogs attack others.,14
dmo98j6,6yk2k5,1,Yay me?,3
du216v5,7woxu1,1,Hoorayy?,2
ecb0fy3,a8ir1r,1,Yay you!,3
ggblqmn,kfsf2k,1,Absolutely YAY.,3
dg9cmcl,65d6c2,1,Yay me!,3
g8grop6,j92wc0,1,Yay.,2
ey8bcc5,cvmb74,1,Yay.,2
eui7nps,cgdjhf,1,yay.,2
dwd5fjr,87bb6b,1,Yay you!,3
fxxtzlw,hqhqxd,0,Yay?,2
