id,parent_id,summarized,text,length
elea61i,bfjh3q,1,This sounds interesting.,4
djbsk3c,6j275o,1,It sounds really interesting!,5
dsbcm67,7optz6,1,Sounds interesting.,3
h97u6jq,p53dah,1,Sounds interesting!,3
fwfuvqh,hifbs3,1,sounds interesting.,3
gyql7e8,ngdw8d,1,Sounds interesting.,3
dyou5wh,8i3vcy,1,It sounds really interesting!,5
dzx87t2,8noinz,0,Sounds interesting.,3
fyg0c42,htcr3f,1,that sounds interesting!,4
dn2sgo4,70fmam,1,"It sounds interesting,",4
eiiyrr2,b10zkw,1,"Anyways, any advice would be nice.",8
frfmyjg,go0kh5,1,Any advice appreciated!,4
fsm0a6b,gurpjp,1,Any advice would be appreciated.,6
fv2zdlo,hah26q,1,Any advice would be the most appreciated,7
evzqyev,clzmu1,1,Any advice greatly appreciated.,5
dresf1p,7kijcq,1,If anyone can offer advice that would be great.,10
frig3rm,goqm7e,1,Any sort of advice is appreciated,6
fb8qrpc,ec2oby,0,If anyone has any advice please give it.,9
dkvmckd,6q754m,1,Any advice is appreciated,4
e3lw244,94j4d3,1,Any advice would be nice.,6
fqx2b68,gl55ly,1,Absolute legend,2
flur95e,fr73de,1,Fucking legend.,3
fn9cufr,g0crc7,0,absolute legend,2
fpbpg4t,gcip7q,1,Legend!,2
e8lbcd7,9rx2wb,0,What a legend!,4
emmduzs,bl6s8y,0,Legend!,2
ghopxuc,ko43wi,0,Fucking legend,2
foafcwf,g6hezn,1,Legend!,2
gz3oufl,nisfx6,1,Legend!,2
gbzocts,jsbpid,0,Legend!,2
dx3jm5g,8b2lfs,0,"No, but I have been ghosted before.",9
fioznbp,f925ax,1,I ghosted many people in my life :),8
eo6zk5h,bqpbji,1,I recently ghosted a friend.,6
dqq7b0o,7hdqnr,0,"I got ghosted once, I felt a bit perplexed for about a day but then largely forgot about it.",21
dzen631,8lc5mb,1,I always get ghosted it actually ended up really effecting my mental health.,14
f6z5fbp,dtlz4s,1,I got ghosted HARD last year by a guy I was basically entering a relationship with .,17
gr6jb77,m6kfa9,1,I got ghosted by a friend of 20 years.,10
gr6yaj4,m6kfa9,1,I was ghosted by my best friend of many years.,11
dqe8xv5,7fonhq,1,Yeah getting ghosted sucks.,5
giufj1a,kutncu,1,I was ghosted on my birthday by someone who I had considered to be my best friend.,18
ed1itja,abmkft,1,I usually talk to myself when I'm working on a task.,13
gpk0b03,lwn3bm,0,I like to talk to myself.,7
e2gjj6l,8z67r1,1,I find talking to myself a great way to organize my thoughts.,13
eaplskw,a1gp27,0,I talk to myself but never out loud,8
g0benwt,i3h931,1,"Whenever i'm alone i talk to myself, even if it's just whispering.",16
en66xxs,bnj8h7,1,"Gosh, I talk to myself all the time.",10
