id,parent_id,summarized,text,length
dso217c,7qajbr,1,& Happy birthday !,4
gc5q04i,jtci7l,1,oh and happy birthday.,5
fs389cs,gs67t4,1,And Happy Birthday!,4
g7jflvi,j4isxg,1,And Happy Birthday!,4
gyxkf80,nhk2k5,1,And happy birthday,3
g11221z,i7cmtp,0,Oh and happy birthday lol,5
ded1lb4,5wuhy2,1,Oh and Happy Birthday!,5
fl2ovj9,fm7edz,1,Also happy birthday!,4
dzwz9p7,8nnq9g,1,Also happy birthday!,4
hhysuxb,qf81ke,1,And happy birthday!,4
gbrw90c,jr78vi,1,"That's incredible, well done!!",8
ggiyl7k,kh2qtf,1,"That's fantastic, well done!",7
fjjpyii,fdr1p7,1,"That's amazing, well done!",7
egyfgh4,at3vd2,1,"That's great, well done!",7
h4wwz11,oiksbg,1,That's amazing well done.,6
fcx2gxu,ej6zy9,1,"wow that's incredible, well done.",8
feyy5qf,eqv0ru,1,"That's fantastic, well done!",7
f86bwox,dzadll,0,"That's awesome, well done!",7
h6te5av,ot7geg,0,"That’s awesome, well done!",7
ftaz2xz,gyhhag,0,"That's fantastic, well done!",7
djtbjqk,6lcort,1,It felt amazing.,4
dhnik89,6bhwv8,1,It felt great.,4
e0heeya,8q8rt3,1,Felt real good.,4
dqvcagk,7i10de,1,Felt great.,3
f5s6aio,dp1n46,1,Felt pretty good.,4
dg6wtj3,651h0w,1,It felt pretty good.,5
h6sg65r,osprda,1,Felt amazing!,3
dijp9d6,6fn09f,1,Felt pretty good.,4
e9lmmdr,9wkh0s,1,Felt fucking great.,4
dmzv4us,70260g,1,Felt great!,3
gpntlwf,lxhr2b,0,Let's goooo,3
gfvkqkx,kcy9yg,0,LETS GOOOOOOOOOOO,2
gmvr3nb,lh7l37,0,LETS GOOOOOOOO,2
hle21wi,qy6wwq,0,Let's gooo,3
h4l17de,ogm770,0,lets goo!,3
dp90vv4,7addx1,1,Let's goooO!,4
glvnarh,lbrfzn,1,Ayee lets goo!,4
glbi4oc,l7obnu,0,LETS FUCKING GOOOOOO,3
f1x5oux,dasr44,1,Let’s gooooo,3
fotxfqz,g9knbb,0,LETS GOOOOOOOO!!!!,6
fzeflxt,hyrxv7,1,"Holy shit, congrats!",5
ghk2jiy,kn85rf,0,holy shit congrats!!,5
gbupo5k,jr78vi,0,Holy shit congratulations!!!,6
g2x2wbs,igs7xm,0,"Holy shit man, congrats.",6
g435tr1,imn0qv,1,Holy shit congrats dude.,5
fgrlpnm,f032zx,1,Holy shit dude congratulation!!!!,8
e6d0odv,9hgqoo,1,holy shit congrats!,4
f48zyl9,djutf2,1,"Holy shit, congrats!",5
e9y2mgt,9y35ew,0,Holy crap congrats!,4
eyjp4jc,cx9d8w,1,Holy shit congrats!,4
fzvxddx,i1bcjg,1,Best of luck,3
gf2z6ga,k94xt2,0,Best of luck,3
dpi1kzh,7bdfmf,1,Best of luck.,4
g7nyl7b,j4qhap,1,Best of luck.,4
f5jl7yk,do35hz,1,Best of luck,3
ez9mr4e,d0gvwn,1,Best of luck,3
e5wftb8,9fhhpi,1,Best of luck,3
ddra0fs,5u14w2,1,Best of luck.,4
dyq3l3w,8i6m7n,1,Best of luck.,4
dtz1onb,7wb9h9,0,Best of luck,3
h8yctlf,p4fmhb,1,I would advise seeing a doctor.,7
etsbqy3,cd8u5j,0,Should probably go to a doctor...,7
esji4o6,c815ch,1,I think the best think you could do is look for a doctor.,14
dzxp04m,8nqug2,0,go to the doctor.,5
f405xlt,dj0zff,1,You should visit the doctor.,6
ftjgwqm,h012xv,1,I urge you to see a doctor.,8
g97b4eh,jdco7z,1,Please see a doc,4
evprzwg,ckr2tu,1,Go see your doctor right now.,7
dytni9m,8ipt7y,1,Go to the doctor.,5
gya19a7,nddbyg,1,Please call or see a doctor.,7
dda125x,5rttbt,1,Congrats getting into med school!,6
dz736jg,8kd0pb,0,Good luck in med school,5
g4i614p,ip6mvo,1,Congrats on getting accepted to medical school!,8
e9soh0h,9xikpr,1,Good luck in med school!,6
gjgjaq0,kyhfh6,1,Congratulations on getting to med school.,7
e05oqbt,8oo691,1,Good luck in Med School,5
f499uxe,djutf2,1,Best of luck during med school!,7
dxatkr1,8bzcbi,1,anyways good luck with med school!,7
f4923ws,djutf2,1,Enjoy med school!,4
g4i7021,ip6mvo,1,Congrats for being accepted to medical school!,8
f4456be,dj538a,0,That's really awesome!,5
hit:1676_conv:3353_uttr:2,hit:1676_conv:3353_uttr:1,1,That's pretty cool.,5
fdzcqkj,enfp3n,1,That’s really cool!,5
dirksb0,6gndgl,1,that's pretty cool.,5
e8rllbi,9snboo,1,That's really cool.,5
e24r4jw,8x3v7t,0,That’s way cool!,5
dp1aow3,79eaip,1,Thats pretty cool.,5
fjgnc9w,fddiqo,0,That's really cool,4
hit:5724_conv:11448_uttr:2,hit:5724_conv:11448_uttr:1,0,thats pretty cool,4
hit:11898_conv:23796_uttr:2,hit:11898_conv:23796_uttr:1,0,thats super cool,4
h0kmyo1,ns6hb0,0,Which one?,3
hit:4110_conv:8221_uttr:2,hit:4110_conv:8221_uttr:1,1,Which one?,3
dtoe1bu,7uyq1i,1,Which one?,3
fs7o0qk,gsvq7q,0,Which one?,3
dircb4f,6glyei,0,Which one?,3
hit:8069_conv:16138_uttr:2,hit:8069_conv:16138_uttr:1,0,Which one?,3
h72pklf,ouaj74,0,Which one?,3
dp29h55,79it7p,0,Which one?,3
e1q7wdu,8vtxbi,0,Which one?,3
h5lnklj,om6q1h,1,Which one?,3
