id,parent_id,summarized,text,length
dvili7s,83kw9g,0,How did your car break?,6
dx5pr1u,8bbm75,1,I crashed the car and caused significant damage the very first time I drove!,15
du39k66,7wulkm,0,did you break something on the car?,8
hit:1934_conv:3869_uttr:2,hit:1934_conv:3869_uttr:1,1,Did someone bump on your car?,7
hit:1175_conv:2351_uttr:2,hit:1175_conv:2351_uttr:1,0,What happened with your car then?,7
hit:9384_conv:18769_uttr:2,hit:9384_conv:18769_uttr:1,0,Did you get hurt or just your car?,9
hit:9778_conv:19556_uttr:2,hit:9778_conv:19556_uttr:1,0,Did it tear up your car?,7
dpxp01c,7dga0l,1,Wrecked my car recently.,5
dry5caz,7mzou8,1,No one was hurt hut my car was hurt and since then I was afraid of driving.,18
dtna9eg,7urfd0,1,"Last night, my car got hit in the parking lot when I went to my side gig.",19
g233ocd,ickn32,0,"Melbourne Australia, brilliant place, love it here",9
dd8d2ol,5rm5w9,1,I did Oz about 6 years back and fell in love with Melbourne - Where abouts are you bud?,20
f1p6e4r,daf4ld,0,Where in Australia are you from?,7
dkukd9x,6q4n9i,1,Melbourne's really nice!,5
f7ljblc,dwotf6,1,Australia is amazing!,4
drkb1se,7l4v50,0,I would love to move to Australia. :),9
ecxahps,ab3nso,1,Australia looks very nice.,5
dczdyxr,5qh79u,1,"I've always wanted to go to Australia, even as a small child.",15
diwgdnp,6h8opu,1,Melbourne I've always wanted to live overseas but I wouldn't want to live anywhere else in Aus.,20
galj79j,jkto1q,1,Always wanted to visit Australia.,6
e6almh0,9hb92j,0,Yo is this shit for real?,7
dy5pj6q,8fq0vl,0,Is this the real life?,6
e8gg1sp,9rfeco,1,Is this the real life?,6
he95lo1,pvd9lc,1,Is this post for real?,6
g7etbn1,j3wr2c,0,Is this for real?,5
du3p8py,7ww942,0,Is this the real life?,6
e0hti21,8qbbzy,1,Is this honestly real?,5
e772kus,9lirfj,1,Could it be real?,5
dl0dhea,6qtwfh,0,Is this the real life?,6
ebxkjfu,a6qqsq,1,Holy shit is this for real?,7
doquah6,78325l,1,"Talk to people, read stuff, watch documentaries",9
dgyrjcz,68ftpp,0,I treat myself to some sweets or my favourite soda then read.,13
djz6n3y,6m61io,1,"Watch Netflix, play video games, try new recipes, study.",13
dn3yos6,70kqy1,0,"I read a book, usually.",7
dimkefk,6g0qtb,1,Read tons of books and website articles in my free time.,12
e0zhf9p,8shni7,1,I go to the library and study.,8
dgh749g,66bgyf,1,"I get the proper books for my classes the day, fill up my back pack, make a cup of coffee to go and head to work.",29
e5z03vb,9fjcc6,0,I study,2
e1kmdw7,8v4o71,1,"Usually, I exercise and study.",7
dmnjokc,6yd8b9,1,I fire up a white noise generator and read books.,11
dfk6f6k,61zx68,1,I was given the best personality award when I graduated high school,12
hit:4299_conv:8598_uttr:2,hit:4299_conv:8598_uttr:1,0,"Oh wow, what was the award for?",9
drkr9lo,7la1fg,0,"i got a 100 on a state test, earned an ice cream party for my class next semester!!",21
djeidxw,6jiiwh,1,My principal's award.,5
g1gei97,i9mjri,1,Got honors and made my teachers proud.,8
fsofd5o,gve12r,0,I passed the entrance exam in a prestigious state university in my country for my dream college program!,19
fsp83f5,gvjxtg,1,I aced a test to get into an honors geometry class and performed at a virtual piano recital.,19
drlannk,7la1fg,0,I got an award for having the highest academic average in grade 7!,14
hdflqmy,pqob3q,1,"I wrote a song, played tennis twice, celebrated a friend defending their dissertation and played top golf with my in laws.",24
diqqsfq,6ggg2f,1,I got the highest ACT composite score in my graduating class.,12
ghzkq9l,kp38n2,1,House cat.,3
hbhz98r,phep98,1,Kit Cat.,3
friv6hl,goqm7e,0,kitty?,2
f5qgdni,douahn,0,Cat.,2
gj0z5h9,kvpc81,0,Good Kitty?,3
fm6yuud,ft8ct9,0,"Just from an anime, a Kitty.",8
fm4pmq1,fszhno,0,Cat.,2
eq864zc,bxlxnf,0,Cat.,2
fmdex8k,ft8ct9,0,What kind of kitty!,5
giydnzy,kt2mkk,1,Kitty.,2
dj2c73h,6hyn7n,1,"It's a great, productive time waster, and you get to learn a few skills!",18
dkov4eu,6pfblw,1,Any opportunity to potentially learn something new or develop your knowledge in a field is worthwhile.,17
dl3pfzg,6r7wxj,1,It feels like an educational experience rather than a waste of time.,13
dofdlx9,76ng7u,1,You can get a fresh perspective on it.,9
e6g4ws1,9i0qqe,1,It's a great way to really get some insight into yourself.,13
dwwgwel,8a4gyo,1,"It's a great way to learn something and have your view changed, in a less stressful way.",20
do5y9wl,75eq6z,1,"It challenges the not-helpful patterns of thought that I can get into, gives me different ways to see the world and different ways to act.",29
dktrrxa,6q182u,1,I think it's a great way to learn something new or teach something new to someone.,18
dyaoh6y,8gahi2,1,You can have some really fun and interesting conversations with people who believe different things to you.,18
dktsp89,6q182u,1,"It's just an interesting way to explore a set of ideas and thought processes, and you learn things.",21
hkpsice,qudc1d,1,Lasagna!,2
dl6ognh,6roqgi,0,We're having lasagna!,5
dzp3i3p,8mnudo,0,Pasta!,2
et62af8,ca62hd,0,Lasagna too good to be shared.,7
dklglxh,6ozjo4,1,Got lasagna today.,4
et61s7q,ca62hd,0,I love me some good lasagna.,7
fwxm0w1,hl2usp,0,I made a wonderful lasagna last night and it turned out great,12
flrcqyd,fqoi0p,0,Lasagna!,2
eeazetr,ah18s2,0,My mom's lasagna.,5
g7u4qv8,j5svn9,0,Veggie lasagnas are so good.,6
fc1fe3l,efn5v5,1,What’s your plan next?,6
ezwajx3,d2ovhq,1,Any plans afterward?,4
dgi8rkt,66g67o,0,What are your plans?,5
djt7ubm,6lepnb,0,What's your plans ahead?,6
dhjij2t,6b3m6d,1,Any big plans?,4
hit:6481_conv:12963_uttr:2,hit:6481_conv:12963_uttr:1,1,What are your plans?,5
e00wgpa,8nxmag,1,Any plans after that?,5
dk0rusc,6mdnqs,1,Any plans?,3
dt01a5f,7rhmeo,1,"No real plans, honestly.",6
hit:12241_conv:24482_uttr:2,hit:12241_conv:24482_uttr:1,1,Any big plans?,4
fuodzal,h7zi08,0,Chocolate mayonnaise cake with peanut butter cream frosting.,9
g92tn7m,jcnup2,1,Lemon-poppy seed cake or German cheesecake.,9
e9iwpvr,9w8nnq,1,Lemon with chocolate icing or red velvet.,8
h90vf62,p4ctqx,0,Lemon cake,2
fsy1ch8,gwsn3u,0,What's your favorite ingrediënt to use when making someone a birthday cake?,14
flre1oo,fqoi0p,0,I live for carrot cake with cream cheese frosting.,10
do3q15s,755zlt,0,White chocolate raspberry or cookies and cream!,8
h8z797z,p4ctqx,1,Lemon cake with cream cheese icing.,7
ett1te8,cdccrf,0,Chocolate frosted vanilla cake,4
h8y48pe,p4ctqx,0,Raspberry lemon cheesecake,3
