id,parent_id,summarized,text,length
e32exxx,91qqbl,1,Music plays a huge role in my life.,9
h71eujc,otowhs,1,Music is a big part of my life!,9
h4vqz62,oihj6l,1,"In my case, music is in my life every day!",12
ff9baxi,esdrcm,1,Music is quite important to me as well.,9
g2vxo8y,igs7xm,1,Music is everything to me.,6
g0zb284,i6scc3,1,Music is probably one of the most important things in my life.,13
dlm197f,6tmcfw,1,I love music and I can't live without it,10
e1uz1is,8wdrit,1,"I love music a lot, it’s a crucial part of my life tbh",15
etvnqoc,cdmcr1,1,Music is an enormous part of my life.,9
dkvw0dl,6q6i4z,1,"Music has always been a big part of me, playing and listening has always gotten me through tough phases in life.",23
fkifbrs,fij9n1,0,Good shit man,3
f1grgyo,d9eh5k,0,Good shit man,3
evw0eka,clevv8,1,Good shit bro!,4
djc92mo,6j275o,1,Good shit man!,4
eyy76ds,czgf92,1,Good shit man!,4
fjxcf7k,ff1ppw,0,GOOD SHIT BRO!,4
eujkgg7,cgdjhf,0,Good shit man,3
fhg5rnd,f1bu8u,1,Good shit bro!,4
fh7xnpj,f1bu8u,1,Good shit bro!,4
eu2y6oh,ceed2a,0,Good shit man,3
djjgjc9,6jxwos,0,What's up?,4
dgffi7l,663351,0,What's up?,4
fs8uxmu,gsvq7q,0,What’s up,3
fs9gsuv,gsvq7q,0,What’s up,3
frkk6ac,goqm7e,0,What's up,3
g46gtqa,i9pr7m,0,What's up,3
deixh4p,5xg040,0,What's up?,4
fs97ktu,gsvq7q,0,What’s up,3
dqio8eb,7gfk6e,0,What's up?,4
dj81588,6ihwqr,0,What's up?,4
dsggxu0,7pcm39,1,I love nighttime.,4
dzoxvc8,8mmhnc,1,I like the night as well.,7
do02t3z,74m51r,1,I always liked nighttime.,5
dokikof,77bexp,1,"I LOVE the night, I hope one day I get to go out at night.",17
e2o5ewd,905sn7,1,Love nighttime.,3
h7g1x50,owhp1s,1,I much prefer the nighttime.,6
fhh7twj,f38vah,1,I too prefer the night over day.,8
gqs5kyd,m3zaux,1,I prefer the night.,5
exgy0hr,cssi11,1,I've always loved the nighttime.,7
fac0lih,e8h0ti,1,I like Night.,4
egowulk,aro7ea,0,I'm down,3
e6f5rtr,9hwyhh,0,I am down,3
eync0uj,cxtmre,0,I’m down,3
etyr6gs,ce3qo1,0,I'm down,3
e2tnm77,90wasi,0,im down,3
fpnnabi,geiynq,0,I'm down,3
dvca6l8,82rov3,0,I'm down,3
g52rd8v,irv2gs,0,I'm down,3
dvxcjdp,85fovr,0,I'm down,3
elebxor,bfjh3q,0,im down,3
e5v57id,9f7iwb,1,It does get easier.,5
dtcmdac,7tgzj0,1,It gets much easier!,5
fh61i8w,f1bu8u,1,It gets a lot easier.,6
dp05djv,798p1p,1,It gets easier.,4
e49chfb,97gugz,1,It gets easier.,4
fm6t618,ftg1b6,1,It definitely gets easier.,5
gjjsvkr,kyqnji,1,It gets easier,3
duslblu,802sml,1,It gets better and easier.,6
e87vvuh,9q6b3x,1,"It gets easier, for real!",7
fpy0tcc,gg66zv,1,It gets easier.,4
g88zlyj,j7weix,1,Jesus.,2
fvlqbso,hdfj7d,1,Jesus.,2
dq0g0zn,7dtsxz,1,Jesus.,2
ehr6iwq,ax4k0p,1,Jesus.,2
df0cp82,5zp8cj,0,Jesus.,2
flvik5h,frfokw,1,Jesus.,2
fkducho,fhxecn,1,Jesus.,2
foq07nn,g8x5pg,1,Jesus.,2
dwafc0u,875r4j,1,Jesus.,2
folc446,g7ulwl,1,Jesus.,2
gmpb9jn,lg2bu3,1,Nice one!,3
docnvai,769096,1,Nice one!,3
duhha58,7ykf03,1,Nice one!,3
eyb5dra,cwgusd,1,Nice one!,3
fxtxjmm,hps0f8,1,Nice one!,3
eipe7gb,b20dq5,1,Nice one!,3
f6ahdlv,dquvgu,1,nice one!,3
dy4vmei,8flmwq,1,Nice one!,3
e6ezj2p,9hnam6,1,Nice one!,3
frvizdd,gqydbn,1,Nice one!,3
djy1p4p,6m0wu7,1,Tea.,2
djq6jb6,6kyypr,1,Probably tea.,3
deegnxv,5x0cfl,0,Tea.,2
euoluja,ch1vz2,1,Tea for sure.,4
euo8pee,ch1vz2,0,"Tea, of course.",5
eqjpx9u,byo51i,1,Tea.,2
djchrfj,6j8vwi,1,Tea.,2
djpx3d5,6kyypr,1,Tea.,2
df82j8u,60njg2,1,Tea.,2
djzihjm,6m0wu7,1,Tea.,2
dizjl6p,6hmywl,0,Would you rather fight 100 duck-sized horses or one horse-sized duck?,16
detjha6,5yvnyy,0,Should I agree to fight 100 duck-sized horses instead of one horse-sized duck?,18
dzvchbn,8ne8se,0,Fight 100 duck sized horses or one horse sized duck?,11
h8jxgy5,p2g40s,0,Would you rather fight one Horse-Sized Duck or 100 Duck-Sized Horses?,16
dk0u3gz,6me012,1,1 horse sized duck or 100 duck sized horses?,10
gjf4gzt,kyakj5,0,Would you rather fight a hundred duck-sized horses or one horse-sized duck?,17
dcuyict,5peg46,0,Would you rather fight one horse-sized duck or a hundred duck-sized horses?,17
e19mvh3,8tpqvm,0,Would you fight one horse-sized duck or 10 duck-sized horse?,15
dpd66ws,7avjsx,0,Would you rather fight 1 horse-sized duck or 100 duck-sized horses?,16
epx4amy,bwennz,0,Would you rather fight one horse-sized duck or two dozen duck-sized horses?,17
