id,summarized,text,root,length
c5a5oy,0,What’s keeping you up tonight?,keep,7
77jzzd,0,What’s keeping you up tonight?,keep,7
6r2eyg,0,What's keeping you up?,keep,6
90w9v1,0,What keeps you up at night?,keep,7
77r5f1,0,What’s keeping you up tonight?,keep,7
6pc6rx,0,What gets you up in the morning?,get,8
7zl0yc,0,What's keeping you up tonight?,keep,7
77c7fy,0,What’s keeping you up tonight?,keep,7
ap2s8u,0,"Night owls, what keeps you up at night?",keep,10
ai8cxw,0,What keeps you up at night?,keep,7
o15szt,1,Wish me luck.,wish,4
hi3cql,1,Please wish me luck!,wish,5
nbj9uc,1,Wish me luck lol,wish,4
5ovnxv,1,Wish me luck!,wish,4
cdg2v6,1,Wish me luck.,wish,4
junz9j,1,Wish me luck.,wish,4
5u22wi,1,Please wish me luck!,wish,5
79pveq,1,Wish me luck!,wish,4
e9tpn6,1,Wish me luck!,wish,4
c4stvt,0,Wish me luck!,wish,4
7ufira,0,Does anyone else feel like they don't belong anywhere?,feel,11
fbnjba,0,I have felt like I didnt belong for a very long time.,feel,14
c6rvz4,0,Does anyone else feel like they don't fit in anywhere?,feel,12
9cgtmo,0,Does anyone feel like they just don’t belong in this world/society and will never fit in?,feel,20
7wz7qp,0,Does anyone else feel like they don't quite fit in?,feel,12
pgwwr5,0,Does anyone ever feel like they don’t belong in this world?,feel,13
8v8r3t,0,Anyone else feel like they don’t really belong anywhere?,feel,11
ck1py0,1,I don’t feel like I belong.,feel,8
an3yzi,0,Do y'all ever feel you don't belong in a certain class?,feel,14
puyz3f,0,Do you feel like you don't fit in anywhere?,feel,11
95f25i,0,What have you recently dreamed about?,dream,7
a1nvpc,0,What did you dream of today?,dream,7
lriz8u,0,What did you dream last night?,dream,7
663jnq,1,what did you dream last night?,dream,7
9shoda,0,What did you dream about?,dream,6
61h5fs,0,What did you dream about last night?,dream,8
7ajb05,0,What kind of dreams have you been having lately?,have,10
5xb3rb,0,What did you dream last?,dream,6
9ud2aa,0,What did you dream of recently?,dream,7
93lqpv,0,What did you dream last night?,dream,7
c94imd,0,Anyone want to play 2 truths 1 lie?,want,9
71ln3h,1,Does anyone want to play two truths and a lie?,want,11
930l2j,0,Anyone want to play two truths and lie?,want,9
9bwgpz,1,Lets play a game of two truths one lie.,play,10
fwcecv,0,Anyone wanna play 2 truths one lie to pass some time?,play,12
5uhaj0,1,Let's play a game of TWO TRUTHS and ONE LIE.,let,12
88x0km,0,Would anyone like to play a game of truth,like,9
7k2nnp,1,Let's play Two Truth's and a lie.,let,10
iet95e,0,Anybody want to play 2 truths one lie?,want,9
hhjwwa,0,"Just for fun, let’s play two truths and a lie!",let,13
b8ya47,0,Got any funny April Fools day Pranks that aren't just mean?,get,13
6blsks,0,Looking for ideas for my next 'big prank',look,10
b8nl09,0,looking for ideas for innocent yet infuriating pranks,look,8
qdi5so,0,Does anybody know a good prank?,know,7
mhkrle,0,Has anyone here done any silly or just funny pranks?,do,11
6lpl99,1,Anybody got any ideas for prank gifts?,get,8
aq7e1q,0,I need some ideas to spice up a prank I'm planning,need,12
8vutic,0,Anyone got any prank ideas?,get,6
773pei,0,Need ideas for a friendly prank!!,need,8
gr1yxk,0,I can’t think of any good outdoor prank ideas,think,10
6syhe4,0,School started again today,start,4
hit:1463_conv:2926_uttr:1,1,School just started.,start,4
6syd8u,1,School started again today.,start,5
96t9i8,0,School starts tomorrow,start,3
cshalc,0,School starts tomorrow...,start,4
cl49pq,0,School is starting.,start,4
hit:2775_conv:5551_uttr:1,1,School starts soon.,start,4
6y1xyu,0,School starts tomorrow!,start,4
adxjvi,0,I started school today!,start,5
hit:2193_conv:4386_uttr:1,1,School starts back next Thursday.,start,6
9u4iwd,1,"I feel lost, useless and helpless.",feel,8
75hoop,1,I feel lost at this point in my life.,feel,10
f22wpl,0,Feeling extremely lost these days,feel,5
fnrokl,0,I feel lost in life,feel,5
nufg94,0,I feel very lost in life and I don’t know what to do,feel,14
e4gpsv,0,I feel lost in life.,feel,6
njgfxc,0,I feel so lost and behind in life,feel,8
d78mok,0,I feel extremely lost in life and I don’t know what to do.,feel,15
ftt2wu,0,Anyone else feel a bit lost in life?,feel,9
l9y5jp,0,I feel lost in life.,feel,6
8r7ss1,1,Would love to hear your opinions.,love,7
icqt3p,1,"Please fell free to answer, I'd love to know what everyone thinks.",love,15
g9lo2z,1,Would love to hear your opinion :),love,7
ghhrpz,0,Just need some opinions.,need,5
fom64g,1,I would really like to hear a lot of opinions on this from different minds.,like,16
5v2gt4,1,Just want to hear some thoughts.,want,7
c801ez,1,Please let me know your opinions.,let,7
gavqlm,1,Please give me your opinions.,give,6
k1lmsx,1,Would like to hear your thoughts on this.,like,9
d9secp,0,I would like to hear your thoughts.,like,8
bbgmxn,0,Lost a friend today,lose,4
fmwx4v,0,Kind of lost a bestfriend,lose,5
a2xymu,0,Lost My Best Friend,lose,4
fl33u7,0,I lost a friend today.,lose,6
a5xnvu,0,I Lost my Best friend,lose,5
hit:1293_conv:2586_uttr:1,0,My best friend died last month.,die,7
8xcd9q,0,My best friend just passed away.,pass,7
5uvhz9,1,One of my best friends died earlier this month.,die,10
86hjci,0,I miss my best friend,miss,5
8sdxo2,0,My best friend moved away today,move,6
