id,summarized,text,root,length
82magh,0,Would you recommend traveling alone?,recommend,6
8jjx48,0,I love travelling alone,love,4
gxmusm,0,We all need to learn how to travel and enjoy alone,need,11
8s94e6,0,Traveling alone,travel,2
eak7qj,0,I’m a solo traveler AMA,be,6
affjx8,0,"Planning for this year’s travel, half want half don’t because of solo trip",want,16
npr1qf,0,Do you enjoy travelling alone?,enjoy,6
9mxd7q,0,Traveling Alone!,travel,3
9fkh61,0,Do you sometimes like to go travel alone?,like,9
8utp5p,0,Do you ever travel solo?,travel,6
cbpwrc,0,Should I leave my new job?,leave,7
jl7utw,0,Should I quit my job?,quit,6
8og7m4,0,Should I quit my job?,quit,6
dbr610,0,I’m miserable 6 months into my new job; should I go back to my old employer?,go,19
cfyu0h,0,Should I quit my job?,quit,6
ckrwfr,0,Should I quit my new job?,quit,7
cvflh5,0,Should I quit my job?,quit,6
d8fngt,0,Thinking about leaving my job,think,5
qm2ygr,0,Should I walk out on my job right now?,walk,10
kzvhwx,0,Should I leave my job for something better...,leave,9
8u6i1w,0,Ever feel like Earth is too small?,feel,8
fw79fp,0,Do you ever just think how vast the world really is?,think,12
dzgfxa,0,I feel like the world is too small,feel,8
fclhxa,0,This big world can feel really small sometimes!,feel,9
7o6i29,0,Do you ever feel like the world is to much?,feel,11
ff59zg,1,Sometimes I look up at the sky and get reminded that I am quite small in the grand scheme of things.,look,22
pyeoj1,0,How could I make the world feel less small?,make,10
8wxwn2,1,I feel so tiny in this universe that embraces us.,feel,11
ozhwe9,0,Anyone else ever grapple with the sheer size of the world and come out losing?,grapple,16
qdc9zu,0,Anyone else feel like the world is too big?,feel,10
fcvzcp,0,I cut my fingernails for the first time in my life,cut,11
bowgex,0,I just realized that after 25 years of nail biting that I'm no longer a nail biter.,realize,19
g70x75,1,I’ve bitten my nails for as long as I can remember and never really cared to quit.,bite,19
7t9v0t,0,So I've been trying to kick my nail-biting habit,try,12
g0z7q9,0,I clipped my nails today for the first time in seven years,clip,12
6ki916,0,I just cut my nails for the first time in several years!,cut,13
fbwfnm,1,I pick my nails from time to time.,pick,9
qqfyuo,0,Just painted my nails for the first time in months.,paint,11
6kipa5,0,I stopped biting my nails!,stop,6
mle2sb,0,I’ve stopped biting my nails!,stop,7
fu4r3h,0,I think I finally reached my all-time low,think,10
7j980z,0,I've hit rock bottom.,hit,6
61f4ch,0,I think I reached the lowest point of my life,think,10
7fqq3b,1,I think I hit rock bottom.,think,7
ccxcsj,0,I feel like I’ve hit a bit of a low point in my life.,feel,16
jg6ovn,0,Does anybody else feel as if they are at one of the lowest points in their life?,feel,18
k72dye,0,I feel like I’ve reached my breaking point,feel,9
cfrotb,0,I’m at the lowest time of my life so far,be,11
ofe6yq,0,"Tell me about the lowest point of your life, and how it turned?",tell,15
gmi3vp,0,I think I just hit rock bottom,think,7
a3gi6m,1,Need to tell someone!,need,5
gg7sdf,1,Just wanted to get it off my chest and tell somebody.,want,12
99k1cr,0,I just thought I should tell someone.,think,8
g1mli6,1,I just wanted to tell someone.,want,7
7uvbdj,0,I need to tell someone about this.,need,8
jd9bcd,1,"I know this will get buried, but i just wanted to tell someone.",know,15
mxfhmp,1,I wanted to tell someone!,want,6
7lclui,0,I just wanna tell someone,tell,5
70ppak,1,I just really wanted to share that with someone.,want,10
knwtba,1,I need to tell people.,need,6
ibady7,0,Im actually stunned at how people are making such a big deal about literally wearing a mask.,be,19
ncri1w,0,I'm going to kind of miss people not recognizing me with my mask on,go,15
lxade0,0,People who get mad at anti-maskers need to realize that everyone experiences life differently and wearing a mask is far more uncomfortable to some people than others,need,29
jrg7p8,0,I love wearing masks,love,4
iywzx1,1,I love the face masks.,love,6
jo4y0k,0,I actually like how face masks are socially acceptable!,like,10
j0gmzr,0,Do you think we are going to be forced to wear masks forever?,think,14
iosatt,0,I love wearing a Mask,love,5
ne4sg3,0,Does anyone else feel like masks were paradise for anti-social/self-conscious people?,feel,18
gxheer,0,Do you think wearing mask in public would last for a while?,think,13
afvbgg,0,ive just found out im going to be a father!,find,13
hit:9562_conv:19124_uttr:1,1,I found out that my wife had been cheating on me last week.,find,14
hy5qd8,0,I just found out I’m pregnant.,find,8
exmg2r,0,I found out I'm pregnant!,find,7
hs4sey,1,My wife just gave birth to our son.,give,9
7nasof,1,My best friend is giving birth today.,give,8
8fjqab,0,I just found out that I'm pregnant.,find,9
hit:622_conv:1244_uttr:1,1,My wife is expecting a baby.,expect,7
hit:12210_conv:24420_uttr:1,0,My wife just gave birth to our 11th child.,give,10
jlq4v2,0,I AM PREGNANT!,am,4
bad9cg,0,Punctured my car tire,puncture,4
hit:5489_conv:10978_uttr:1,0,I woke up and my car had a flat tire,wake,10
pid6cc,0,"i drove with a Flat tire, for the 1st time",drive,11
8f4gdx,0,"Was supposed to have a job interview and take an exam today, but I’m currently on the side of a highway with a flat scooter tire",suppose,28
hit:9427_conv:18855_uttr:1,0,I woke up this morning and found my truck had a flat tire.,wake,14
hit:1333_conv:2666_uttr:1,0,Last week I got a flat tire on my way to work.,get,13
9a3z06,0,Just got a flat tire,get,5
7ulkji,1,My tire blew out.,blow,5
5slxbb,0,Tire flew off on my way to an interview,fly,9
6qqabn,1,I popped a tire trying to get to a hiking trail yesterday.,pop,13
e7iq7l,1,My mother made Christmas special.,make,6
a9jbvx,0,I just got the best Christmas present,get,7
e4i5xl,0,I bought my sisters Christmas gift.,buy,7
ei94i7,0,I finally finished making my mom’s Christmas present.,finish,10
9z39k7,1,Just bought my wife an early Christmas present.,buy,9
r0ghc8,0,I’m excited for Christmas because of the gift I’m giving my mom,be,14
dpe59e,1,I finally finished knitting my kid's sweater today!,finish,10
ocfl7a,0,got my mom a gift to show her my appreciation,get,10
7cqnt2,0,Got all my Christmas shopping done!,got,7
e163ki,0,My Mom got creative with Christmas,get,6
