id,summarized,text,root,length
ex1bpa,0,I missed my cake day by 1 day,miss,8
7rxdo8,0,I missed the chance to comment on my cake day,miss,10
dtge26,1,I missed my cake day yesterday.,miss,7
eho3nr,0,I missed my cake day,miss,5
lsrcz0,0,Missed my cake day,miss,4
hr0jj4,0,Received my first birthday cake in 4 years,receive,8
bimw9t,0,I missed my cake day!,miss,6
gtlxh7,0,I just missed my cake day.,miss,7
bs0q07,0,Missed my first cake day ;-;,miss,8
8h4wq5,0,after 4 years I just realized my cake day is may the 4th,realize,13
knth1a,0,Anyone else call their relatives by weird names?,call,9
9axxvl,0,Giving your child odd and unique names,give,7
ai74a1,1,Anyone know any interesting last names?,know,7
86p8lf,0,Ever notice how particular sports players have distinct styles of names?,notice,12
ezmjzn,0,help with some names,help,4
pldgkw,0,Have you heard of some weird English names?,hear,9
7sxdgt,1,How do you think of these names?,think,8
6y2pxy,0,Unusual ways you've heard people pronounce things?,hear,9
gzwsff,1,"My full name means beautiful beautiful tractor in Arabic , I’ve also had a friend who’s last name was pants, and another with the last name rat.",have,31
6tcu2m,0,Have you given any objects you own an interesting/funny name?,give,13
fi6mkr,0,"They say just wash your hands, use soap but..",say,11
cvc7gi,0,I just emptied the dish washer.,empty,7
hit:1340_conv:2680_uttr:1,0,I really hate when my kids just throw their dishes in the sink and don't rinse them off.,hate,20
a1f8wk,1,I had never really thought about soap like that before.,think,11
8ldtdf,0,I always always use an absurd amount of dish soap when has washing dishes.,use,15
blvdpu,1,I absolutely hate washing dishes.,hate,6
dljmwx,1,Mine is using cornstarch instead of dry shampoo when i blowout my hair or in between washes.,use,18
86jgey,0,Do you wash your hands with soap and water after every time you go to the bathroom,wash,17
gs3ny5,1,"One friend said my handwashed dishes were unsanitary, because the dishwasher uses high temperature water to kill bacteria.",say,20
hdftl5,0,Anybody ever get that unbearably dry feeling in the skin on their hands after doing the dishes?,get,18
cf1hdf,0,"If I wanted to win the Lottery with $14 dollars, what combination of games or numbers should I use to have the biggest chance?",use,27
73ljx0,0,Help me pick my lottery numbers,help,6
7qbba9,1,I'm thinking about buying a lottery ticket but today is Sunday so all the lottery stores are closed.,think,20
hit:8403_conv:16807_uttr:1,0,i am hoping to win the lottery this week,hope,9
hit:6633_conv:13267_uttr:1,0,I didnt win the lottery last night.,win,9
hit:8476_conv:16952_uttr:1,0,i am hoping to win the lottery tomorrow,hope,8
6ebq8g,0,I bought a lottery ticket today,buy,6
6e4taz,1,Pick three single digit numbers at random .,pick,8
hit:1494_conv:2988_uttr:1,1,I bought 5 lottery tickets today.,buy,7
hit:4283_conv:8566_uttr:1,0,I really wish I score big with this lottery ticket I bought.,wish,13
odwa55,0,I tried to trust group members with finishing an assignment,try,10
8e46yu,0,How do you handle a group project where a team member doesn't pull their weight?,handle,17
98il0j,0,I never liked doing something as a group,like,8
ot404n,0,Group conversations often follow the same pattern and are disappointing and depressive.,follow,13
libf2n,0,I was asked to work on a group project by multiple people,ask,12
8zhc9d,0,I really dislike group work and working in a team environment...,dislike,12
ca500q,0,Just having one group of friends sucks.,have,8
jictah,0,I just solo’d a 15 page group assignment for my graduate class because my team member completely misunderstood the instructions and screwed up her half of the assignment.,solo’d,29
hit:952_conv:1905_uttr:1,0,I finished a team based project with some co-workers,finish,11
a10vbd,0,I just gave up on a group project for the first time in my life and it feels amazing.,give,20
hit:81_conv:162_uttr:1,1,"Just moved here for work, and I don't know anyone.",move,13
jlw0rw,0,No one knows me,know,4
hit:6402_conv:12804_uttr:1,1,I know no one.,know,5
b2s8p8,0,I know nothing about anyone,know,5
au2f0p,0,"No one knows me, and I love it that way!",know,12
f303wk,1,I don't even really talk to a lot of people outside of school.,talk,15
plvf4f,0,"I've never met up with a friend outside of school, ever",meet,13
ffb4ha,1,I never speak to people irl.,speak,7
fok8vw,1,Everyone literally knows everyone.,know,5
97iu2y,1,I mean friends you actually have met in person.,mean,10
j8oz6k,0,I stood up to my dad gaslighting my mother and being an asshole in general,stand,15
hit:6986_conv:13973_uttr:1,0,"A while back, I intervened when I saw my dad was picking on my younger sister.",intervene,18
hit:11082_conv:22164_uttr:1,0,"Once when I was a child, I went with my big sister through a bad part of town, but she took care of me.",go,27
hit:4160_conv:8321_uttr:1,0,"I got upset and blamed my daughter for something, only to find out it wasnt her fault.",get,20
g4w6jh,0,I saved my friend's kid from choking and he and his wife never mentioned it again,save,17
67ibjr,0,Did your parents stick up for you?,stick,8
hit:10358_conv:20717_uttr:1,0,in that situation i felt proud by my father,feel,9
hit:5154_conv:10309_uttr:1,1,I looked out for my brother last weekend.,look,9
9l6p40,0,Has someone done something kind to your child that just melted your heart and made you look at humanity in a different way?,do,24
hit:3283_conv:6566_uttr:1,0,My son stood up to a kid who was bully him.,stand,12
8gabu2,0,Is having unlimited data still uncommon?,have,7
9blsx9,1,Internet speeds UP TO 50mbps.,speed,6
f6ssai,1,My data allowance is getting closer... Arghh.,get,9
7cevcn,0,"My ISP just upgraded my Internet speed from 1 Mbps to 10 Mbps, For Free!",upgrade,17
9bl4ey,0,Not having unlimited internet for 2 weeks changed my life for the better,change,13
hit:1654_conv:3308_uttr:1,1,My internet service provider cut my internet last week.,cut,10
89bsg0,0,I just got free 250/100mbit Internet connection at home,get,9
841kh4,0,"So my wifi got throttled recently, and I’m kind of scared what my ISP will do next.",throttle,20
hit:9418_conv:18836_uttr:1,0,we changed our internet provider last week and the connection is horrible.,change,13
7rp7ec,1,"So, Comcast just upgraded my internet for no reason!",upgrade,11
hit:8917_conv:17834_uttr:1,0,"I was supposed to take a flight tomorrow, but there is supposed to be a storm at the time",suppose,20
7o7vo7,0,Anyone else getting cabin fever thanks to the bomb cyclone on the East Coast?,get,15
hit:7173_conv:14347_uttr:1,0,A tornado came through my area last week,come,8
bwuk6k,0,I really love thunderstorms,love,4
bs9la1,0,My town just got trashed on by a tornado last night,trash,11
hit:2778_conv:5557_uttr:1,0,that dang storm last week upset me,upset,7
hit:5220_conv:10440_uttr:1,1,It was raining hard,rain,4
hit:5732_conv:11464_uttr:1,0,A tornado went threw my house!,go,7
89uqjd,0,So a giant thunder storm just swept by last night,sweep,10
hit:3737_conv:7475_uttr:1,0,"The storm is coming, I can hear it with my ears!",hear,13
dltxu9,0,Was she trying to make a move on me?,try,10
iq3tq3,0,"A girl i was dating told me she wasn't ready for a relationship, and that i couldn't be her bf.",tell,24
8ayq0u,0,is my gf exaggerating much?,exaggerate,6
biyieb,0,Does she still care about me?,care,7
ih6v02,0,Can anyone give me some kind of interpretation on why my girlfriend left me?,give,15
87ktrl,1,Did my Ex ever meant all she told me?,mean,10
ijcrfc,0,Does it sound like my girlfriend is done with me?,sound,11
im2a70,0,From your interpretation what was my gf trying to tell me?,try,12
idenkr,0,"my-current girlfriend lied to me about her past, should i forgive her ?",forgive,16
fiej1e,0,Struggling with a break up where my ex told me she still loved me,struggle,14
