id,summarized,text,root,length
6he8k2,0,I need a random topic to make some slides on for a presentation,need,13
5udssu,0,"Bring up the most random topic , the most random and interesting wins .",bring,14
fnaj8m,0,Looking for niche topics to make a PowerPoint on!,look,10
946e7z,1,Pick a topic.,pick,4
i6aisn,0,Give me subjects that interest you,give,6
dvj2b8,0,Help me with a topic for my English class!!,help,11
ef1yti,0,Can't be bored by any topic!,bore,8
el56bc,0,My teacher told us to find a research topic that we are genuinely interested in.,tell,16
8igqgh,0,I need a presentation topic to talk about in front of the class.,need,14
buxl1o,0,Let's discuss random and/controversial topics.,let,9
hit:4862_conv:9725_uttr:1,0,"Hi, my friend is coming to visit me.",come,10
r0bi9j,0,I’m meeting a stranger in person today!,meet,9
jhje20,0,My dad is going to visit me,go,7
hit:6185_conv:12371_uttr:1,0,A friend of mine is coming to visit,come,8
hit:12208_conv:24417_uttr:1,1,My best friend is coming visit me.,come,8
hit:5264_conv:10528_uttr:1,0,My family is coming to visit!,come,7
hit:12370_conv:24741_uttr:1,0,Someone is visiting me soon and i can't wait!,visit,11
8jjftu,0,Visiting a friend...,visit,4
7fnrh0,0,My sister is coming to town!,come,7
hit:7636_conv:15273_uttr:1,0,I came home from work today to a wonderful surprise guest!,come,12
8irmcu,1,"See past threads, user made threads & learn more about scheduled threads !",make,14
8a0qnq,1,"See past threads, user made thread & learn more about scheduled threads !",make,14
8cxks9,1,"See past threads, user made thread & learn more about scheduled threads !",make,14
8l34tf,1,"See past threads, user made threads & learn more about scheduled threads !",make,14
8uvqhb,1,"See past threads, user made threads & learn more about scheduled threads !",make,14
86cquk,1,"See past threads, user made thread & learn more about scheduled threads !",make,14
8eb78l,1,"See past threads, user made threads & learn more about scheduled threads !",make,14
88g8y5,1,"See past threads, user made thread & learn more about scheduled threads !",make,14
8446mn,1,"See past threads, user made thread & learn more about scheduled threads !",make,14
8rtarr,1,"See past threads, user made threads & learn more about scheduled threads !",make,14
d1m8hb,0,at the fair today my dad's girlfriends daughter called me brother,call,12
knth1a,0,Anyone else call their relatives by weird names?,call,9
ff596y,1,So my dad called me asking what my boyfriends last name was.,call,13
90ydk6,0,An older friend accidentally called me Daddy yesterday,call,8
nfy0d5,0,I just called my GF by my ex's name on accident,call,12
k0g1g7,1,What did your parents almost name you?,name,8
b4ogtu,1,I accidentally call my older brother my boyfriend's name.,call,11
hit:2211_conv:4423_uttr:1,0,I accidentally called my girlfriend my ex-girlfriend's name.,call,12
dpxpsw,0,My stepbrother called me sis,call,5
aowhh2,0,Being called Brother,call,3
bh2o6o,0,I've been spoiled for endgame.,spoil,7
bg4dj7,0,I got spoiled Endgame a bit,get,6
bh9nxt,0,A Lot Of People Died Before Getting to See Endgame,die,10
9aiz5o,0,I have finally seen infinity war,see,6
ctyhzt,0,Going to watch Endgame finally tonight,go,6
bivas7,1,"Saw endgame, twice.",see,5
bh0gpr,0,"No spoilers, I feel sad after watching endgame.",feel,10
c2gm2x,1,"Marvels Endgame, did I miss something?",miss,8
93z9yh,0,Finally watched Avengers Infinity War last night and...,watch,9
bh4ey1,1,When are you gonna see Endgame?,go,8
9aeugr,0,I miss him so much.,miss,6
dl60vw,1,I'm going to miss him.,go,7
qi2dnr,0,I miss this person,miss,4
i5a47s,0,"God, I miss that man.",miss,7
fim1lb,0,I miss the dude,miss,4
papoyo,0,God I Miss It.,miss,5
fumg6y,0,I still miss Bill Paxton,miss,5
7enoau,0,I miss him.,miss,4
7m38q0,1,Man I love that old man.,love,7
73xp2n,0,I miss my grandpa,miss,4
6doykw,0,My worst fears have come true....,come,7
hit:6242_conv:12484_uttr:1,0,I am feeling quite a lot of trepidation about the weekend coming up.,feel,14
83fj1p,0,I’m worried that the worst time of my life is happening again.,be,14
gljpdi,0,Im developing a new fear I never thought I'd have to my future.,be,16
hit:5944_conv:11889_uttr:1,0,Feeling a bit scared about the weekend.,feel,8
788nup,0,My worst fear came true this past weekend.,come,9
78hcst,0,I Keep Fearing the worst,keep,5
8or0an,0,Whats your nightmare scenario?,s,6
614xiz,0,I faced a big fear of mine last Night!!!,face,12
hit:8554_conv:17109_uttr:1,0,Man this weekend is going to be SCARY,go,8
hit:10567_conv:21134_uttr:1,0,I have given someone I did not know who was done on their luck some money for food,give,18
bsqqyo,0,Gave CPR to my Uber Rider today,give,7
8bnu15,0,Today I helped out a confused cab driver! :),help,10
hit:9509_conv:19019_uttr:1,0,"My neighbor really needed money for food, and so I let her borrow some.",need,16
hoibv1,0,A stranger went out of their way to be nice to me today.,go,14
jc3o3m,0,I offered to pay a girls train ticket yesterday and it made my day.,offer,15
kez1og,0,Helped 3 strangers today then was robbed by one.,help,10
bbnf3z,0,"I bought a homeless guy a meal, but he ran away",buy,12
as7j1a,0,I helped out a homeless man.,help,7
94g8v3,0,Just helped a guy in a wheelchair get to his room,help,11
hyvau0,0,Figuring out what style of clothing I want,figure,8
9m52pb,0,I need a new clothing style,need,6
952ehc,0,I need a new wardrobe,need,5
8yunqr,0,Going to completely change my wardrobe,go,6
6fabg8,0,How do you find a clothing style?,find,8
cd6cr2,0,New found love for fashion,find,5
if3qcy,0,Recently became a clothing designer.. looking for possible inspiration?,become,11
b1wa4u,0,What kind of clothes do you wish you could wear?,wish,11
bpnogr,0,Need a new way to dress i feel very bland,need,10
a1zfs2,0,Where to Buy 70s fashion?,buy,6
ay49g2,1,I went to a new doctor and got a general checkup today.,go,13
ihl4ut,0,Currently waiting for my pregnancy test to finish,wait,8
9bnbra,0,My blood tests came back negative!!,come,8
hit:8578_conv:17156_uttr:1,1,I get my blood test results back tomorrow.,get,9
hit:3914_conv:7829_uttr:1,0,I'm waiting to hear back from my doctor about my test results.,wait,14
9p471g,0,Waiting to get my blood test :),wait,7
633ghi,0,"Have an appointment at my new doctor in 5 hours, wish me luck!",wish,15
hit:9017_conv:18034_uttr:1,1,I have been waiting on some health result tests.,wait,10
d6tdh5,0,waiting for a blood test.,wait,6
f2g0go,0,I gave blood for the first time today,give,8
