id,summarized,text,root,length
5qa0tx,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
611pxq,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
63ss5t,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
62dt19,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
5nj8ei,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
5m69l0,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
5x32qz,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
5vqaez,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
hit:6147_conv:12295_uttr:1,0,I just celebrated my 50th wedding anniversary.,celebrate,8
5zqg39,1,"Celebration Megathread - Something awesome happen, having an anniversary or did you accomplish something?",happen,16
fype7z,0,"Spending my birthday in quarantine, and I’m loving it!",spend,12
fjmtzm,0,My birthday will probably be canceled due to COVID-19.,cancel,10
fm7edz,0,Celebrating my birthday in quarantine,celebrate,5
gkpq3n,0,It’s my birthday and I’m alone,be,8
6u9dn7,0,Spending my birthday alone,spend,4
fz9h90,0,"My birthday is next week, how should I celebrate during quarantine?",celebrate,13
eblwo8,0,I'm going to be alone for my Birthday and Christmas this year..,go,14
hkdi1c,0,Spending my birthday in quarantine with coronavirus,spend,7
jjys7x,0,Today’s my birthday and I’m in quarantine,be,9
eh5mq1,1,Probably going to be alone on my birthday next month.,go,11
i64w62,0,I hate my life,hate,4
q8lpbs,0,Hate my life,hate,3
ex2ga3,0,I HATE MY LIFE,hate,4
8rnzp9,1,I hate my life.,hate,5
8fxrjw,0,I hate life,hate,3
71feq8,0,I hate my life,hate,4
e7maiu,0,I honestly hate my life,hate,5
7mydky,0,I hate my life.,hate,5
5uftma,0,I hate my life.,hate,5
8fv0f7,0,I hate my life,hate,4
hbalev,0,I really wish I had been forced into quarantine with everyone else.,wish,13
gfrhd6,0,Quarantine is changing my life,change,5
gi4rry,0,going mad in quarantine,go,4
gthg9e,0,I'm not really looking forward to coming out of quarantine,look,11
ghegs2,0,"Quarantine has honestly made me lose my love for video games a little bit, but i have nothing better to do.",make,23
gnc2oj,0,How have you been dealing with quarantine?,deal,8
g41lmm,0,Quarantine help me realizing my hobbies.,help,7
hhca5s,1,The quarantine is preventing me from going out with my friends.,prevent,12
fs3ysl,0,Slowly changing quarantine habits,change,4
g2aife,0,I’m having a really tough time in quarantine.,have,10
7l4ijm,0,Do you fear death?,fear,5
8t0cnj,0,Have you ever felt scared about dying when you are alone?,feel,12
8y6skq,0,Have anyone fear being seen lonely ?,fear,7
6v3spf,0,Does anyone else feel they will die alone?,feel,9
j8bywg,0,Sometimes I feel that I'm gonna die alone,feel,10
gk8761,0,Have you ever been scared by yourself?,scare,8
nnnw6r,1,"I feel like I'm pretty much guaranteed to die alone, anyone else feel similar?",feel,17
hit:8103_conv:16207_uttr:1,0,i felt scared walking home alone the other day.,feel,10
hit:602_conv:1204_uttr:1,0,Do you ever feel afraid?,feel,6
86cxk4,0,Anyone else scared of death?,scare,6
9a3mv0,0,I'm going to Hawaii.,go,6
8d4682,0,I'm visiting my sisters this week!,visit,8
7u630j,0,"My brother and I are going on our first vacation, and I mean first!",go,16
nxoc1b,0,I’m taking a trip by myself for the first time today!,take,13
cmqom7,1,How are your vacations going?,go,6
hit:11938_conv:23877_uttr:1,1,i go on vacation tomorrow!,go,6
hit:9834_conv:19668_uttr:1,1,My husband gets back from a month long business trip on Friday!,get,13
hit:7060_conv:14120_uttr:1,0,I'm leaving tomorrow to go on vacation!,leave,9
hit:5288_conv:10577_uttr:1,1,I just finished booking a vacation for the fall.,finish,10
hit:1459_conv:2919_uttr:1,0,I'm taking a vacation and going on a cruise to Alaska next week!,take,15
7nb7av,0,I think I might have my first kiss tonight!,think,10
a2qtdw,0,I just got my first kiss today guys!,get,9
7bp6bv,1,So... tell me your first kiss stories!,tell,9
df09ta,1,Recently I've given my first kiss.,give,8
a8lsd0,0,I kissed yesterday and I'm just so happy!,kiss,10
h96umt,0,I kissed the girl of my dreams today.,kiss,9
bp8w9o,0,I kissed the girl I like yesterday.,kiss,8
olrv6b,0,I just kissed a girl today,kiss,6
cuqwpq,0,I JUST GAVE MY FIRST KISS!!!,give,9
dvgd99,0,I GOT MY FIRST KISS,got,5
hit:5325_conv:10651_uttr:1,1,I miss my dad.,miss,5
efa198,0,I miss my dad,miss,4
7ms8df,0,I just really miss my dad a lot right now.,miss,11
hit:1085_conv:2171_uttr:1,0,I really miss my dad.,miss,6
enzh5f,0,I miss my dad,miss,4
hit:1324_conv:2649_uttr:1,0,I miss my father so much,miss,6
h76ycm,1,I’m going to miss my dad like crazy.,go,10
dl60vw,1,I'm going to miss him.,go,7
7p1rdx,0,I miss my dad.,miss,5
hit:376_conv:752_uttr:1,0,I miss my father.,miss,5
hit:5458_conv:10917_uttr:1,1,Im worried that I am going to get fired at work.,worry,13
nuabhe,0,I think I'm about to lose my job,think,9
7zhqf3,0,"I think I'm going to lose my job soon, and I'm happy about it.",think,18
8qpdg2,0,i might get fired today,fire,5
axsmq4,0,I think I’m getting fired,think,6
i8q761,0,"I might get fired tomorrow, and I'm okay with that.",fire,13
73kpiy,0,I am probably going to be fired tomorrow,go,8
8iubw5,0,I think I'm getting fired in 6 days,think,9
fs07qg,0,I got fired and I'm so excited.,fire,9
7lny6q,0,"Just sign a contract for a new position, and I'm freaking out right now.",sign,17
gliz1l,0,Suggest coping up mechanisms,suggest,4
cr2khk,0,How do you cope?,cope,5
6snw8v,0,How do you cope with this?,cope,7
fud22m,1,How do you cope?,cope,5
l9i13g,0,How to Cope,cope,3
6hsm8v,0,Im not coping well.,cope,6
dlklyr,0,How to cope up with shit??,cope,8
hfm3ut,1,Cant cope.,cope,4
a0j9qs,1,Ho do you cope?,cope,5
7p4eyd,0,How to deal with life?,deal,6
