id,summarized,text,root,length
b5k4nd,0,"I just realized that since I was born in the year 2000, I'll have to wait until I'm 111 years old to experience a year without zeroes .",realize,31
73juh2,0,"Sometimes, just for shits and giggles, when someone tells me their phone number or address, I'll repeat it back to them, but transpose two of the numbers...",repeat,33
j81h73,0,Just remembered something stupid I did when I was younger,remember,10
8gwlhy,1,I accidentally just pressed 2 for the first number of my birth year on a website.,press,17
76u8dw,0,I unintentionally learned my Roman Numerals,learn,6
6wx773,0,I gave the wrong number to classmates on the first day of college.,give,14
6t4lcp,0,"For me, I randomly mashed my keyboard until I got something cool and now it's my username.",mash,20
ept058,0,"I just typed the wrong date in a form at work, and had a little... moment.",type,19
kfw1x0,0,This morning I turned one billion seconds old,turn,8
9d0hpu,1,"I always wondered if the little number right next to my name would start with a k after the 1, and now I know.",wonder,26
9scc1t,1,I want to create an Instagram account with an original feed.,want,12
oqih41,0,Does anyone have instagram that I can follow for follow?,instagram,11
h9pbsf,0,I’ve created a new insta account,create,7
au5gni,0,I need my Instagram back.,need,6
9lg1bl,0,Creating instagram account for self motivation ?,create,7
eacnqw,0,"I know it’s stupid, but I finally made an Instagram to upload my pictures to.",know,18
bfud4u,0,How do you even use Instagram,use,6
gyivy9,0,Thinking of creating instagram,think,4
93vei0,0,I need hap creating a business username on Instagram.,need,10
7raeau,1,I want to start using social media like Twitter and Instagram.,want,12
7lsxzh,1,"Maybe to finally start doing commissions and tarot readings regularly, for a little cash on the side.",start,19
c9ob82,1,I’m genuinely curious about other peoples experiences with tarot card readings.,be,13
g1bg15,0,I'm learning how to do magic,learn,7
q5cfph,0,I got a tarot reading the other day and it has been on my mind.,get,16
gsigme,0,"Tarot reading, anyone?",read,5
hit:6882_conv:13765_uttr:1,1,I have been practicing magic since I was a kid.,practice,11
jb2fdl,0,An unexpected tarot reading possibly saved my life,save,8
cegyci,0,Anyone wants a tarot reading?,want,6
errpmn,0,"Anyone who is in to magic, what did you find the best way to learn/teach yourself?",find,20
8dcttk,1,Who wants a tarot card reading?,want,7
ganxm8,0,My dog just alerted me to a bear cub on my patio!,alert,13
ntbl8g,0,I saw a black bear on my hike today!,see,10
hit:8728_conv:17457_uttr:1,0,I was jogging a couple days ago and suddenly a bear came out of the woods!,jog,17
mg8umm,0,I desperately want to hug a bear,want,7
aywui0,0,Humans must really terrify the shit out of bears.,terrify,10
ahj5ka,1,I absolutely love bears.,love,5
fqlcju,0,Going On A Bear Hunt,go,5
8yxnro,1,I do not think bears are cute.,think,8
hit:5834_conv:11669_uttr:1,0,"I do not like being around large animals, especially bears.",like,12
8a9vsd,0,"I used to think bears were scary and violent creatures, I still see them as scary ad violent creatures but now I can also see a sort of beauty in all the ursids of the world.",see,38
ah5ykj,0,My partner and I of 7+ years don't plan on getting married.,plan,15
h0okmk,1,Living alone?,live,3
dbdukt,0,Lets talk about divorce and extended families,talk,7
75pu3v,1,We were living together.,live,5
ju2uin,0,My friend made a passing remark about living together,make,9
6bsmi0,0,Spending time between two different people?,spend,7
7wpv1j,0,"Couples that live together, how do you keep from feeling like ""roommates""?",keep,16
goi4b2,0,Not living as other couples so WHAT,live,7
fzpcaz,0,"If you are or were theoretically married or live with a partner, do you refer to the house you live in to others as 'my' house or 'our' house?",refer,35
9j264g,0,What do you think about moving in with a significant other when you’re not married yet?,think,18
po1uys,1,Do American and British people watch tv shows and movies with subtitles?,watch,13
mxxjxb,0,Does most people watch content with subtitles on when available?,watch,11
f4kx1g,0,My family won’t watch parasite because there are subtitles,watch,10
ohu7dm,0,"Call me a heathen, but I prefer watching international television dubbed vs subtitled.",call,15
mve3hl,0,"Just realized I'm part of the ""watching TV with captions on"" minority out there",realize,17
818vmk,1,"I put an episode of Rick and Morty that I've already watched in english without subtitles and I get every joke, anticipate the storyline, every silence feels like an eternity .",feel,34
9wxrel,0,Do you guys multitask when watching shows/movies?,multitask,10
g0g69i,0,I like to watch TV with subtitles,like,7
nsq478,1,I watch movies or tv shows mostly for online entertainment.,watch,11
5xxp4e,0,I didn't realize how much I depend on subtitles until they weren't an option.,realize,17
cby5ce,0,My dog came into my home office just to fart!,come,11
fzzcvk,0,My dog just farted and scared herself...,fart,8
fu4tq6,0,Does anyone else wonder what their pets do at night when everyone is asleep?,wonder,15
dqx6cl,0,Dogs howling at 3am?,howl,6
abr7qy,0,My dog stays up late with me,stay,7
ew0uiu,0,How does your dog react to farts?,react,8
5s8of3,0,"My Labrador leaves off the most horrendous, silent, farts I've ever been hit with",leave,17
hit:8208_conv:16416_uttr:1,1,"At night, my neighbors dog keeps barking and barking and I have no idea why.",keep,17
hit:6022_conv:12044_uttr:1,0,My dog almost always goes to bathroom when I leave her in the house and leave.,go,17
hit:4824_conv:9648_uttr:1,0,My rottweiler passes a lot of gas in the evenings.,pass,11
epekzh,1,"When looking at a one of those pictures similar to the white and gold or blue and black dress, my perception on it changed during the day.",change,29
c6c3u6,0,Thinking about pictures of people and curious if you notice it too,think,12
l154l0,0,Anyone else feel more free and happy in bright coloured clothing?,feel,12
9x7ipl,0,I can’t stop thinking about pretty wedding dresses...,stop,10
f6bh8x,0,"I used to think blue when a poem/lyrics etc decribed eyes ""like sky"" now I think black",think,21
9pvpvx,1,I just love how quickly the effects of contrast and acclimation can completely shift our perceptions.,love,17
6wagsz,0,I realized today I have a subconscious attachment to a specific color.,realize,13
8lbupx,0,I find it really interesting how much style affects perception,find,10
92gmi8,0,Changed my view of fashion,change,5
