id,summarized,text,root,length
5zp5ir,1,What do you guys think?,think,6
ag3dvf,0,What do you guys think?,think,6
8orydp,1,What do you guys think?,think,6
8a8sa8,1,What do you guys think about this kind of thing?,think,11
97t62x,1,What do you guys think?,think,6
kbd7u4,1,what do you guys think?,think,6
ddca7j,0,What do yall think about this?,think,8
etefeg,1,What do you guys think?,think,6
covkre,1,What do you guys think?,think,6
b1gkyq,1,What do you guys think?,think,6
8jekwi,0,I feel so anxious driving,feel,5
cc3s1b,1,My life would improve so much if I could drive but I am terrified of just the thought of driving.,improve,21
8jo4ih,0,Scared to start driving,scare,4
hit:2531_conv:5063_uttr:1,1,Driving gets me so nervous sometimes.,get,7
f30hko,0,Terrified of driving?,terrify,4
hit:9339_conv:18679_uttr:1,0,I really get nervous when I have to drive.,get,10
cs5yks,0,Terrified of Driving,terrify,3
hit:3563_conv:7126_uttr:1,1,Driving sometimes gets me very nervous.,get,7
827va3,0,I hate driving,hate,3
bcoq8f,0,I get nervous thinking about highway driving.,get,8
71zd4z,1,Today we are going to celebrate my dad's 70th birthday!,go,12
idqcxx,0,"Tomorrow is my birthday, today my dad showed up as a sweet surprise.",show,15
hit:8075_conv:16151_uttr:1,1,My dad came to my birthday party.,come,8
hit:9354_conv:18708_uttr:1,0,I finally got my dad's birthday present.,get,9
ea8iin,0,"First birthday away from home and my family, dad sent me a voice message telling me how proud he is.",send,22
g567dj,0,My Dad is turning 80,turn,5
hit:6517_conv:13034_uttr:1,1,I celebrated my birthday last week.,celebrate,7
cj0s0s,0,My father is going to be 92 tomorrow,go,8
hit:6147_conv:12295_uttr:1,0,I just celebrated my 50th wedding anniversary.,celebrate,8
gce2zj,0,My father is turning 50!,turn,6
alltmo,0,I feel really lost,feel,4
hit:3825_conv:7650_uttr:1,1,I just felt lost,feel,4
brtkk8,0,I just feel so lost,feel,5
89omlg,1,I just feel really lost.,feel,6
7bly9m,0,Feeling a little lost and confused about life,feel,8
czjay9,0,I'm feeling lost.,feel,5
97rivi,0,I feel lost,feel,3
q2xihv,0,"Feeling a Little Lost, But I'm Still Trying",feel,10
fkcdwk,0,Feeling kinda lost,feel,3
73n5yh,0,I feel so lost.,feel,5
hit:3297_conv:6595_uttr:1,0,I am feeling very at peace today.,feel,8
7tq7ft,0,I feel so peaceful for the first time in a while.,feel,12
k7vtj7,0,I’m feeling strangely peaceful today.,feel,7
fbjj1n,0,Today I felt happy and calm for the first time in a long time.,feel,15
9lp5ji,1,"I feel more peaceful than I have since the year started- warm coffee, warm heart, and everything feels so far away right now.",feel,26
8io2ij,0,"For the first time in a long time, I feel at ease",feel,13
ezp415,0,I feel calm for the first time in my life.,feel,11
75raib,0,I feel really at peace right now.,feel,8
fgah2l,0,I'm feeling very at peace,feel,6
awmve5,0,I haven’t felt this much at peace in so long,feel,11
i1mgn5,0,Covid-19 might have saved my life or at least prevented irreparable damage to my body,save,15
iryyvn,1,I think Covid-19 may have changed my career path in a positive way.,think,14
g3cvl1,0,COVID-19 may change life for good,change,6
ftl8mp,0,Covid 19 might make me a better person potentially,make,9
fme9ov,0,What Covid19 can teach us,teach,5
fjniln,0,COVID-19 - Let's here some good news stories,let,9
fhybzn,0,Covid-19 has taken over our lives,take,6
quxnok,0,Covid has changed the course of our lives,change,8
g50x3o,0,HAS COVID-19 CHANGED THE WORLD AS WE KNEW IT?,change,10
fm290n,0,Covid 19 is ruining everything.,ruin,6
hit:10745_conv:21490_uttr:1,0,I was recently passed up for another promotion at work.,pass,11
hit:8189_conv:16378_uttr:1,0,"I got passed over for a promotion at work last week, even thought I had more experience than the other applicants.",pass,23
hit:4873_conv:9747_uttr:1,0,"Recently, I got passed over for a promotion at my job.",pass,13
gt7zrt,0,Have you ever been passed up for a promotion?,pass,10
hit:373_conv:747_uttr:1,1,I'm going to be really upset if I get passed over for another promotion.,go,16
ckb382,0,Just got told I didn’t get the internal promotion I applied for.,tell,14
8bowwl,0,"I just got passed over for a promotion, again.",pass,11
g9yeb4,0,I was passed up for a promotion at two different jobs and it hurts,pass,14
mr5m9h,0,I turned down a promotion today,turn,6
hit:10995_conv:21991_uttr:1,1,I tried for a promotion at work recently.,try,9
