id,summarized,text,root,length
75fglm,0,Talk to me,talk,3
77rgp2,0,Talk to me,talk,3
6q9htz,0,talk to me,talk,3
6tpbw0,0,Talk To Me,talk,3
pz8dpo,0,Talk to me,talk,3
79be9k,0,Talk to me,talk,3
6q9j3r,0,talk to me,talk,3
5qk9ew,0,Talk to me,talk,3
e0txzq,0,Talk to me,talk,3
6yt159,0,Talk to me,talk,3
qbm9g3,0,Does anyone else feel this?,feel,6
7m254i,1,Anybody else feel this?,feel,5
e3nx2f,1,Does anyone else feel this?,feel,6
ger8he,1,Anyone else feel this?,feel,5
7z9aso,1,Anyone else feel this ?,feel,5
f9kv04,1,Does anyone else feel this?,feel,6
5swi8h,1,Anyone else feel this?,feel,5
ixcqen,0,Does anyone else feel this?,feel,6
9rfmx2,1,Anyone else feel this?,feel,5
9sd20e,1,Anyone else feel this?,feel,5
8t59gu,1,What do you guys think?,think,6
8orydp,1,What do you guys think?,think,6
9831kc,1,What do you guys think?,think,6
eyxfuo,1,What do you guys think?,think,6
etefeg,1,What do you guys think?,think,6
b1gkyq,1,What do you guys think?,think,6
ehoitq,1,What do you guys think?,think,6
5zp5ir,1,What do you guys think?,think,6
7tk14b,1,What do you guys think?,think,6
hsfude,1,What do you guys think?,think,6
hit:8041_conv:16083_uttr:1,0,My son said his first word today.,say,8
hit:8658_conv:17316_uttr:1,0,My son said his first word today!,say,8
hit:4400_conv:8800_uttr:1,0,My son spoke his first word yesterday.,speak,8
hit:8664_conv:17328_uttr:1,0,My son said his first word today!,say,8
hit:9989_conv:19978_uttr:1,0,My son said his first word today!,say,8
hit:8648_conv:17297_uttr:1,0,My son said his first word today!,say,8
hit:8651_conv:17302_uttr:1,0,My son said his first word today!,say,8
hit:8019_conv:16038_uttr:1,0,My son said his first word today.,say,8
hit:9991_conv:19982_uttr:1,0,My son said his first word today!,say,8
hit:8035_conv:16070_uttr:1,0,My son said his first word today.,say,8
8k9qru,0,Tell me about your pets!,tell,6
7nmebf,1,Tell me about your pets!,tell,6
8ax442,0,Tell me about your pets!,tell,6
bcte5m,0,Tell me about your pets!,tell,6
619flo,0,Tell me about your pets.,tell,6
6qhl7q,0,Tell me about your pets!,tell,6
he1x4i,0,Tell me about your pets!,tell,6
8h7zlx,0,Tell me about your pets?,tell,6
9chkdf,0,Tell me about your pets!,tell,6
6pbzy3,0,Tell me about your pets!,tell,6
7np8ie,0,Help?,help,2
ncegfh,1,Help?,help,2
cmhd91,1,Help?,help,2
foxrj5,1,Help?,help,2
ebr4uc,1,Help?,help,2
acg9q0,1,Help?,help,2
da83e7,1,Help?,help,2
965fpp,1,Help?,help,2
a1g1kk,1,Help?,help,2
5u82yo,1,Help?,help,2
71qshm,0,Ask me anything,ask,3
izruce,0,Ask Me Anything,ask,3
9l6o2c,1,Ask me anything,ask,3
5r0hwo,1,Ask me anything,ask,3
6rbk3v,0,Ask me anything,ask,3
8awmay,0,Ask Me Anything,ask,3
do1oiv,1,Ask me anything,ask,3
irbcbo,1,Ask me anything,ask,3
8avdn7,0,Ask Me Anything,ask,3
ayg2fo,0,Ask me anything,ask,3
73466g,0,Can't sleep,sleep,3
6706xu,0,Can't sleep,sleep,3
6r2cx3,0,Can't sleep,sleep,3
7b32yq,0,can't sleep,sleep,3
7jqghj,0,Can't sleep,sleep,3
fvtimb,0,Can't sleep,sleep,3
9saest,0,Can't sleep,sleep,3
5y6bkv,0,Can't sleep,sleep,3
ckkcn4,0,Can’t sleep,sleep,3
hadztb,0,Can't sleep,sleep,3
5ynogi,0,Feeling Lonely,feel,2
8yyalh,0,Feeling lonely,feel,2
fbt3ne,0,Feeling lonely,feel,2
88fzws,0,Feeling lonely,feel,2
ggv5zj,0,Feeling lonely,feel,2
ao6mfm,0,Feeling Lonely,feel,2
cho26j,0,Feeling lonely,feel,2
6rwpu4,0,Feeling lonely,feel,2
6rqnnm,0,Feeling lonely,feel,2
81fqgd,0,Feeling lonely,feel,2
dlsq3q,0,Looking for Friends,look,3
pux34f,0,Looking for friends,look,3
lkadcm,1,Looking for friends,look,3
cl1gd7,0,Looking for some friends,look,4
h8ptfx,0,Looking for friends,look,3
gfnail,0,Looking for friends,look,3
plv8za,0,Looking for friends,look,3
cun00o,0,Looking for friends,look,3
ihbsyu,0,Looking for some friends,look,4
atu0pm,0,Looking for friends,look,3
